iter	Passed	Remaining
0	0	87
1	1	84
2	2	83
3	3	78
4	4	76
5	4	76
6	5	75
7	6	75
8	7	75
9	8	75
10	9	76
11	10	76
12	11	76
13	12	76
14	13	75
15	14	75
16	15	74
17	16	73
18	17	72
19	18	72
20	18	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	65
28	26	64
29	27	64
30	28	63
31	29	62
32	30	61
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	39	51
43	40	50
44	40	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	44
52	48	43
53	49	42
54	50	40
55	50	40
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	20
77	71	20
78	72	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	78	11
87	79	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
