iter	Passed	Remaining
0	174	173883
1	178	88924
2	182	60772
3	188	46864
4	192	38308
5	196	32567
6	200	28439
7	204	25385
8	210	23136
9	215	21363
10	221	19944
11	226	18627
12	230	17495
13	234	16493
14	238	15653
15	241	14878
16	245	14207
17	249	13613
18	253	13102
19	257	12620
20	261	12186
21	265	11807
22	269	11452
23	273	11135
24	276	10795
25	279	10468
26	282	10168
27	284	9874
28	286	9602
29	289	9351
30	291	9119
31	293	8880
32	295	8645
33	296	8428
34	298	8219
35	299	8023
36	300	7832
37	302	7652
38	303	7483
39	305	7324
40	306	7173
41	308	7031
42	310	6908
43	312	6779
44	313	6652
45	314	6530
46	316	6415
47	318	6313
48	319	6207
49	321	6108
50	323	6021
51	325	5931
52	326	5840
53	328	5756
54	330	5670
55	331	5588
56	332	5507
57	334	5430
58	335	5357
59	337	5291
60	339	5225
61	340	5158
62	342	5095
63	344	5033
64	345	4972
65	347	4912
66	348	4854
67	350	4798
68	351	4742
69	352	4689
70	354	4639
71	356	4589
72	357	4541
73	359	4493
74	360	4448
75	362	4402
76	363	4357
77	364	4312
78	366	4267
79	367	4224
80	368	4182
81	370	4144
82	370	4097
83	372	4060
84	373	4021
85	375	3987
86	376	3951
87	377	3917
88	379	3883
89	380	3849
90	382	3816
91	383	3784
92	384	3753
93	386	3723
94	387	3692
95	389	3664
96	390	3637
97	391	3607
98	393	3580
99	394	3553
100	396	3526
101	397	3501
102	399	3482
103	401	3460
104	403	3436
105	405	3415
106	406	3391
107	407	3368
108	409	3345
109	410	3322
110	412	3300
111	413	3278
112	414	3256
113	416	3235
114	417	3215
115	419	3196
116	420	3173
117	421	3154
118	423	3136
119	425	3117
120	426	3099
121	427	3079
122	429	3064
123	431	3046
124	432	3028
125	434	3011
126	435	2992
127	436	2975
128	438	2958
129	439	2941
130	440	2925
131	442	2909
132	443	2893
133	445	2877
134	446	2862
135	448	2846
136	449	2831
137	450	2815
138	452	2799
139	453	2784
140	454	2770
141	455	2752
142	457	2738
143	458	2725
144	459	2712
145	461	2698
146	462	2684
147	463	2671
148	465	2657
149	466	2644
150	468	2631
151	469	2618
152	470	2605
153	472	2593
154	473	2582
155	475	2570
156	476	2557
157	477	2545
158	478	2532
159	479	2519
160	480	2505
161	481	2493
162	483	2481
163	484	2470
164	485	2458
165	487	2447
166	488	2437
167	489	2426
168	491	2415
169	492	2404
170	493	2393
171	494	2382
172	496	2373
173	497	2362
174	499	2352
175	500	2342
176	501	2333
177	503	2323
178	504	2313
179	505	2304
180	507	2294
181	508	2285
182	509	2275
183	511	2266
184	512	2256
185	513	2247
186	514	2238
187	516	2229
188	517	2222
189	519	2213
190	520	2205
191	521	2196
192	523	2187
193	524	2179
194	525	2170
195	527	2162
196	528	2153
197	529	2145
198	531	2137
199	532	2129
200	533	2121
201	535	2113
202	536	2106
203	537	2098
204	539	2090
205	540	2083
206	541	2074
207	542	2066
208	543	2058
209	545	2051
210	546	2044
211	548	2037
212	549	2030
213	550	2023
214	552	2016
215	553	2009
216	555	2002
217	556	1994
218	557	1987
219	558	1980
220	560	1974
221	561	1967
222	562	1960
223	564	1953
